metric,mean,std,count,ci_lower,ci_upper,ci_width,confidence_level
accuracy,0.7378922983870968,0.07862284711414756,3100,0.7351235361474228,0.7406610606267708,0.005537524479348077,0.95
precision,0.7393394342082429,0.07909907381490991,3100,0.7365539012898795,0.7421249671266062,0.00557106583672673,0.95
recall,0.7378922983870968,0.07862284711414756,3100,0.7351235361474228,0.7406610606267708,0.005537524479348077,0.95
f1,0.7374984777186739,0.07873836161942058,3100,0.7347256475494849,0.740271307887863,0.005545660338378111,0.95
auc,0.7378891839649931,0.07861874335308357,3100,0.7351205662423277,0.7406578016876586,0.0055372354453309125,0.95
