dataset,mean_accuracy,std_accuracy,mean_f1,std_f1,count
synthetic_dataset_with_switching_drifts_abrupt,0.7158286693548387,0.07285061224177851,0.71555032929697,0.07295318611842702,620
synthetic_dataset_with_parallel_drifts_abrupt,0.734675625,0.07734460947646672,0.7338383997272746,0.07777113279356819,620
synthetic_dataset_with_switching_drifts_incremental,0.7405251209677419,0.07755979195586173,0.7402857698576332,0.07759002748939832,620
synthetic_dataset_with_parallel_drifts_incremental,0.7469449596774193,0.0794728895756434,0.7466096110535163,0.07948628140179755,620
synthetic_dataset_no_drifts,0.7514871169354839,0.08096138876790729,0.7512082786579756,0.08096175093045298,620
