metric,mean,std,min,max,median,count
accuracy,0.7378922983870968,0.07862284711414756,0.585625,0.9434,0.7357,3100
precision,0.7393394342082429,0.07909907381490991,0.591173131649935,0.945053981845876,0.73660905013158,3100
recall,0.7378922983870968,0.07862284711414756,0.585625,0.9434,0.7357,3100
f1,0.7374984777186739,0.07873836161942058,0.5793335126002931,0.9433477311983156,0.7356442353821935,3100
auc,0.7378891839649931,0.07861874335308357,0.5857045312101644,0.9434060927362438,0.7356982878697258,3100
