batch_size,mean_accuracy,std_accuracy,mean_f1,std_f1,count
1000,0.7407000161290324,0.07887542912342099,0.7403292956213628,0.07896026591235877,775
1500,0.7383047580645162,0.07848761723978208,0.7379167491058525,0.07860645484369438,775
2000,0.7370594677419354,0.0785312365619887,0.736742453416441,0.07859417496202667,775
2500,0.7355049516129032,0.07865690220298005,0.7350054127310397,0.07884929215195077,775
