dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm
synthetic_dataset_no_drifts,2500,KS95,0.6633375,0.668051403468282,0.6633375,0.6609952106978768,1,32,0.66338951694903,,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2500,KS90,0.6633375,0.668051403468282,0.6633375,0.6609952106978768,1,32,0.66338951694903,,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2500,HD,0.6625,0.6672347608620183,0.6625,0.6601297868154856,1,32,0.6625522588094761,,no_drifts,synthetic,NB
synthetic_dataset_no_drifts,2500,JS,0.6622625,0.6671877155268213,0.6622625,0.6597930886594809,2,32,0.6623158134046145,,no_drifts,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1000,Base,0.6629375,0.6680930866654287,0.6629375,0.6603699664028483,0,80,0.6629919074187138,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1000,KS95,0.668725,0.6741834645516059,0.668725,0.6661449390814759,30,80,0.6687800112421919,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1000,KS90,0.668725,0.6741834645516059,0.668725,0.6661449390814759,30,80,0.6687800112421919,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1000,HD,0.6675875,0.6728481159487514,0.6675875,0.6650744233818215,17,80,0.6676417061100414,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1000,JS,0.6662125,0.6728636385904035,0.6662125,0.6630108669990767,16,80,0.6662734868255809,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1500,Base,0.6627375,0.6675914230068182,0.6627375,0.6603136501739618,0,53,0.6627903604649845,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1500,KS95,0.666475,0.6716348987938465,0.666475,0.6639849393164737,24,53,0.6665288697378396,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1500,KS90,0.666975,0.671723429872953,0.666975,0.66469087721384,25,53,0.6670266511822855,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1500,HD,0.6661125,0.670782815247826,0.6661125,0.6638482274589643,15,53,0.6661638617827585,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,1500,JS,0.6661125,0.670782815247826,0.6661125,0.6638482274589643,15,53,0.6661638617827585,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2000,Base,0.662375,0.6670628807824398,0.662375,0.6600253027950431,0,40,0.6624270243855563,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2000,KS95,0.6656875,0.670571811302193,0.6656875,0.663311986506973,19,40,0.6657400647422128,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2000,KS90,0.665575,0.670526055992927,0.665575,0.66316509084325,20,40,0.6656279318859109,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2000,HD,0.6646625,0.6690738223422698,0.6646625,0.6624944982019997,11,40,0.6647126580908821,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2000,JS,0.664025,0.6684712641157272,0.664025,0.6618275720034472,10,40,0.6640754469044714,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2500,Base,0.6622125,0.6669780763242658,0.6622125,0.6598209193530391,0,32,0.6622649696347538,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2500,KS95,0.6658,0.6695852394277508,0.6658,0.6639555842932594,18,32,0.6658463694712381,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2500,KS90,0.6658,0.6695852394277508,0.6658,0.6639555842932594,18,32,0.6658463694712381,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2500,HD,0.6631375,0.6665915901516172,0.6631375,0.6614127137732301,10,32,0.6631821731180364,1.0,switching_incremental,synthetic,NB
synthetic_dataset_with_switching_drifts_incremental,2500,JS,0.664625,0.667506763808142,0.664625,0.6632037676432327,10,32,0.6646656658850257,1.0,switching_incremental,synthetic,NB
MULTISEA,1000,Base,0.6971,0.6875731804032597,0.6971,0.6870785733274449,0,50,0.6511518917876906,,,,NB
MULTISEA,1000,KS95,0.70452,0.6952263136395614,0.70452,0.6914807728247768,4,50,0.6534460045316348,,,,NB
MULTISEA,1000,KS90,0.70452,0.6952263136395614,0.70452,0.6914807728247768,4,50,0.6534460045316348,,,,NB
MULTISEA,1000,HD,0.70418,0.6949268011909121,0.70418,0.6924714759608817,6,50,0.6553351190016851,,,,NB
MULTISEA,1000,JS,0.70418,0.6949268011909121,0.70418,0.6924714759608817,6,50,0.6553351190016851,,,,NB
MULTISEA,1500,Base,0.69726,0.6877006297505706,0.69726,0.6871001187978919,0,33,0.6510650861985855,,,,NB
MULTISEA,1500,KS95,0.69258,0.6839075942165348,0.69258,0.6850123089206557,3,33,0.6511785681664142,,,,NB
MULTISEA,1500,KS90,0.69132,0.6846403359691722,0.69132,0.6864573259667834,5,33,0.6555989068181467,,,,NB
MULTISEA,1500,HD,0.70302,0.6940465231666844,0.70302,0.6932920641636544,6,33,0.657687381269824,,,,NB
MULTISEA,1500,JS,0.70302,0.6940465231666844,0.70302,0.6932920641636544,6,33,0.657687381269824,,,,NB
MULTISEA,2000,Base,0.6971,0.687546438050471,0.6971,0.6869973810420112,0,25,0.6510057385562865,,,,NB
MULTISEA,2000,KS95,0.6971,0.687546438050471,0.6971,0.6869973810420112,1,25,0.6510057385562865,,,,NB
MULTISEA,2000,KS90,0.70232,0.6935542852795943,0.70232,0.6933943620358053,7,25,0.6584817249843139,,,,NB
MULTISEA,2000,HD,0.69562,0.686318452272023,0.69562,0.6864783829853646,1,25,0.6512606156377431,,,,NB
MULTISEA,2000,JS,0.69562,0.686318452272023,0.69562,0.6864783829853646,1,25,0.6512606156377431,,,,NB
MULTISEA,2500,Base,0.69688,0.6872791939838124,0.69688,0.686685392767593,0,20,0.6506177758899903,,,,NB
MULTISEA,2500,KS95,0.69688,0.6872791939838124,0.69688,0.686685392767593,0,20,0.6506177758899903,,,,NB
MULTISEA,2500,KS90,0.70076,0.6922970251783125,0.70076,0.692791633968142,8,20,0.6587518984696683,,,,NB
MULTISEA,2500,HD,0.69856,0.6896166204957203,0.69856,0.689812579529588,4,20,0.6549959399255852,,,,NB
MULTISEA,2500,JS,0.69856,0.6896166204957203,0.69856,0.689812579529588,4,20,0.6549959399255852,,,,NB
Abrupt (imbal.),1000,Base,0.4748940368636681,0.5063370866523891,0.4748940368636681,0.3833272846631135,0,452,0.5846757490053234,,,,NB
Abrupt (imbal.),1000,KS95,0.5531961490474379,0.5570768927119123,0.5531961490474379,0.5007069898155274,93,452,0.530169028024486,,,,NB
Abrupt (imbal.),1000,KS90,0.5526364690162905,0.555666572602263,0.5526364690162905,0.5005349760038743,102,452,0.5278348188971043,,,,NB
Abrupt (imbal.),1000,HD,0.5469821521798763,0.5687839651179097,0.5469821521798763,0.4927557100366939,50,452,0.5320368880097623,,,,NB
Abrupt (imbal.),1000,JS,0.5467631469502968,0.5548844388091497,0.5467631469502968,0.4920616926765198,51,452,0.5329299088488125,,,,NB
Abrupt (imbal.),1500,Base,0.4734893063507092,0.4995539266190728,0.4734893063507092,0.3823145078724957,0,301,0.584975226430978,,,,NB
Abrupt (imbal.),1500,KS95,0.5434028545893762,0.5507795101567832,0.5434028545893762,0.4904649529616695,89,301,0.5342516629497798,,,,NB
Abrupt (imbal.),1500,KS90,0.5426507154170833,0.5791704597650927,0.5426507154170833,0.4901859308211557,103,301,0.5334121683115778,,,,NB
Abrupt (imbal.),1500,HD,0.5422657971347922,0.5472306378578776,0.5422657971347922,0.4868411022962806,46,301,0.5442390238654811,,,,NB
Abrupt (imbal.),1500,JS,0.5380493934218793,0.5444321972980233,0.5380493934218793,0.4817179699802539,46,301,0.5419228402255873,,,,NB
Abrupt (imbal.),2000,Base,0.4744139950978223,0.5101661880584054,0.4744139950978223,0.3815922386865115,0,226,0.5853572262147881,,,,NB
Abrupt (imbal.),2000,KS95,0.534722283671501,0.5687829520651668,0.534722283671501,0.4807925310905658,84,226,0.536473277813931,,,,NB
Abrupt (imbal.),2000,KS90,0.5368415463981382,0.5689638833385983,0.5368415463981382,0.4838938881802322,93,226,0.5372122015324136,,,,NB
Abrupt (imbal.),2000,HD,0.5307956747573245,0.5595195911115806,0.5307956747573245,0.4759237250637566,40,226,0.5465128328563044,,,,NB
Abrupt (imbal.),2000,JS,0.5285613789808071,0.558319878780986,0.5285613789808071,0.4745623444037224,44,226,0.5445764358495888,,,,NB
Abrupt (imbal.),2500,Base,0.4734561237401669,0.5223001877850794,0.4734561237401669,0.3797588867731867,0,180,0.5854745014367095,,,,NB
Abrupt (imbal.),2500,KS95,0.5263381440744707,0.5598508476327485,0.5263381440744707,0.4736311716754484,79,180,0.5452376839973231,,,,NB
Abrupt (imbal.),2500,KS90,0.5252409057525373,0.5589061710584764,0.5252409057525373,0.4731713024070623,85,180,0.543175485379146,,,,NB
Abrupt (imbal.),2500,HD,0.5022143862101919,0.5144571804726884,0.5022143862101919,0.4494426812315232,27,180,0.5377195550086697,,,,NB
Abrupt (imbal.),2500,JS,0.5016038261762129,0.5137760019570068,0.5016038261762129,0.449073587500422,28,180,0.5377303919493123,,,,NB
synthetic_dataset_with_switching_drifts_abrupt,1000,Base,0.649425,0.6567355431264834,0.649425,0.6453391399754554,0,80,0.649492144332869,1.0,switching_abrupt,synthetic,NB
synthetic_dataset_with_switching_drifts_abrupt,1000,KS95,0.664225,0.6673809796868382,0.664225,0.6626635343293127,21,80,0.6642675876045264,1.0,switching_abrupt,synthetic,NB
