dataset,batch_size,technique,phase,duration_seconds,type
synthetic_dataset_with_switching_drifts_abrupt,1000,JSDDM,drift_detection,0.4016905000025872,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,1500,HDDDM,drift_detection,0.35409316699951887,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,1500,KSDDM_95,drift_detection,1.146139000018593,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,1500,KSDDM_90,drift_detection,1.1055586670117918,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,1500,JSDDM,drift_detection,0.45818758400855586,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,2000,HDDDM,drift_detection,0.3293814999924507,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,2000,KSDDM_95,drift_detection,1.2155264579923823,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,2000,KSDDM_90,drift_detection,1.086145499983104,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,2000,JSDDM,drift_detection,0.3161271669960115,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,2500,HDDDM,drift_detection,0.2570547500217799,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,2500,KSDDM_95,drift_detection,1.0863993749953806,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,2500,KSDDM_90,drift_detection,1.1076700409757905,technique_timing
synthetic_dataset_with_switching_drifts_abrupt,2500,JSDDM,drift_detection,0.2406038329936564,technique_timing
synthetic_dataset_no_drifts,1000,HDDDM,drift_detection,0.4397852919937577,technique_timing
synthetic_dataset_no_drifts,1000,KSDDM_95,drift_detection,2.1218747080129106,technique_timing
synthetic_dataset_no_drifts,1000,KSDDM_90,drift_detection,1.6908451250055805,technique_timing
synthetic_dataset_no_drifts,1000,JSDDM,drift_detection,0.37438433401985094,technique_timing
synthetic_dataset_no_drifts,1500,HDDDM,drift_detection,0.33953904200461693,technique_timing
synthetic_dataset_no_drifts,1500,KSDDM_95,drift_detection,1.899292374990182,technique_timing
synthetic_dataset_no_drifts,1500,KSDDM_90,drift_detection,1.2119442920084111,technique_timing
synthetic_dataset_no_drifts,1500,JSDDM,drift_detection,0.32221470901276916,technique_timing
synthetic_dataset_no_drifts,2000,HDDDM,drift_detection,0.39733020798303187,technique_timing
synthetic_dataset_no_drifts,2000,KSDDM_95,drift_detection,1.421016290987609,technique_timing
synthetic_dataset_no_drifts,2000,KSDDM_90,drift_detection,1.4444789160043001,technique_timing
synthetic_dataset_no_drifts,2000,JSDDM,drift_detection,0.28683316698879935,technique_timing
synthetic_dataset_no_drifts,2500,HDDDM,drift_detection,0.276032124995254,technique_timing
synthetic_dataset_no_drifts,2500,KSDDM_95,drift_detection,1.1703683329978958,technique_timing
synthetic_dataset_no_drifts,2500,KSDDM_90,drift_detection,1.180818916996941,technique_timing
synthetic_dataset_no_drifts,2500,JSDDM,drift_detection,0.2494157500041183,technique_timing
MULTISTAGGER,1000,HDDDM,drift_detection,0.35915750000276603,technique_timing
MULTISTAGGER,1000,KSDDM_95,drift_detection,0.80938345901086,technique_timing
MULTISTAGGER,1000,KSDDM_90,drift_detection,0.7219695000094362,technique_timing
MULTISTAGGER,1000,JSDDM,drift_detection,0.3303319579863455,technique_timing
MULTISTAGGER,1500,HDDDM,drift_detection,0.3403362079989165,technique_timing
MULTISTAGGER,1500,KSDDM_95,drift_detection,0.5860935829987284,technique_timing
MULTISTAGGER,1500,KSDDM_90,drift_detection,0.5590341670031194,technique_timing
MULTISTAGGER,1500,JSDDM,drift_detection,0.2859725000162143,technique_timing
MULTISTAGGER,2000,HDDDM,drift_detection,0.3513917500094976,technique_timing
MULTISTAGGER,2000,KSDDM_95,drift_detection,0.5344875419978052,technique_timing
MULTISTAGGER,2000,KSDDM_90,drift_detection,0.538551333011128,technique_timing
MULTISTAGGER,2000,JSDDM,drift_detection,0.283682208013488,technique_timing
MULTISTAGGER,2500,HDDDM,drift_detection,0.29619591700611636,technique_timing
MULTISTAGGER,2500,KSDDM_95,drift_detection,0.5624154999968596,technique_timing
MULTISTAGGER,2500,KSDDM_90,drift_detection,0.5413113329850603,technique_timing
MULTISTAGGER,2500,JSDDM,drift_detection,0.2968827090226114,technique_timing
MULTISEA,1000,HDDDM,drift_detection,0.3096368749975227,technique_timing
MULTISEA,1000,KSDDM_95,drift_detection,0.8087112079956569,technique_timing
MULTISEA,1000,KSDDM_90,drift_detection,0.8161740420036949,technique_timing
MULTISEA,1000,JSDDM,drift_detection,0.37922199998865835,technique_timing
MULTISEA,1500,HDDDM,drift_detection,0.27482845800113864,technique_timing
MULTISEA,1500,KSDDM_95,drift_detection,0.7178624999942258,technique_timing
MULTISEA,1500,KSDDM_90,drift_detection,0.633721542020794,technique_timing
MULTISEA,1500,JSDDM,drift_detection,0.29235870798584074,technique_timing
MULTISEA,2000,HDDDM,drift_detection,0.24796083400724456,technique_timing
MULTISEA,2000,KSDDM_95,drift_detection,0.7862345000030473,technique_timing
MULTISEA,2000,KSDDM_90,drift_detection,0.578480041003786,technique_timing
MULTISEA,2000,JSDDM,drift_detection,0.23350870900321752,technique_timing
MULTISEA,2500,HDDDM,drift_detection,0.2776760419947095,technique_timing
MULTISEA,2500,KSDDM_95,drift_detection,0.6703681249928195,technique_timing
MULTISEA,2500,KSDDM_90,drift_detection,0.5361105420161039,technique_timing
MULTISEA,2500,JSDDM,drift_detection,0.23370479201548733,technique_timing
SEA,1000,HDDDM,drift_detection,0.3399787920061499,technique_timing
SEA,1000,KSDDM_95,drift_detection,0.918241167004453,technique_timing
SEA,1000,KSDDM_90,drift_detection,0.9064834169985261,technique_timing
SEA,1000,JSDDM,drift_detection,0.30760266599827446,technique_timing
SEA,1500,HDDDM,drift_detection,0.27484733299934305,technique_timing
SEA,1500,KSDDM_95,drift_detection,0.8510025409923401,technique_timing
SEA,1500,KSDDM_90,drift_detection,0.7016005000041332,technique_timing
SEA,1500,JSDDM,drift_detection,0.25536066701170057,technique_timing
SEA,2000,HDDDM,drift_detection,0.25733108300482854,technique_timing
SEA,2000,KSDDM_95,drift_detection,0.7687131249986123,technique_timing
SEA,2000,KSDDM_90,drift_detection,0.5998935830139089,technique_timing
SEA,2000,JSDDM,drift_detection,0.2434410419955384,technique_timing
SEA,2500,HDDDM,drift_detection,0.23181337499408983,technique_timing
SEA,2500,KSDDM_95,drift_detection,0.5660477919736877,technique_timing
SEA,2500,KSDDM_90,drift_detection,0.5591121249890421,technique_timing
SEA,2500,JSDDM,drift_detection,0.22354424998047762,technique_timing
STAGGER,1000,HDDDM,drift_detection,0.36577662502531894,technique_timing
