dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm,run_id,algorithm_seed
synthetic_dataset_with_switching_drifts_incremental,1500,HD,0.7311625,0.7315213481632376,0.7311625,0.7310603714688457,4,53,0.7311673863229616,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,1500,JS,0.73175,0.731981559028821,0.73175,0.7316847072353807,7,53,0.7317539144846197,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2000,Base,0.729975,0.7304467649474314,0.729975,0.7298391463196983,0,40,0.7299806206237888,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2000,KS95,0.7324625,0.7327763326053176,0.7324625,0.7323742211495883,15,40,0.732467055154191,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2000,KS90,0.730775,0.7311291655204143,0.730775,0.7306739022025724,16,40,0.7307798581737411,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2000,HD,0.729975,0.7304467649474314,0.729975,0.7298391463196983,0,40,0.7299806206237888,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2000,JS,0.729975,0.7304467649474314,0.729975,0.7298391463196983,0,40,0.7299806206237888,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2500,Base,0.7302625,0.7307280727647125,0.7302625,0.7301287516640231,0,32,0.7302680800167549,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2500,KS95,0.7302125,0.7306564258353303,0.7302125,0.7300849649493677,10,32,0.7302179487636218,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2500,KS90,0.7296625,0.7299325617866435,0.7296625,0.7295849281712399,14,32,0.7296667487291719,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2500,HD,0.7302625,0.7307280727647125,0.7302625,0.7301287516640231,0,32,0.7302680800167549,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_incremental,2500,JS,0.7302625,0.7307280727647125,0.7302625,0.7301287516640231,0,32,0.7302680800167549,1.0,switching_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1000,Base,0.7298875,0.7303732928348251,0.7298875,0.7297474786962229,0,80,0.7298932049933253,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1000,KS95,0.7330125,0.7334648420930746,0.7330125,0.7328854157084768,26,80,0.733017967688623,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1000,KS90,0.7326375,0.733081956023724,0.7326375,0.7325122720723715,31,80,0.7326429239151827,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1000,HD,0.731425,0.7317344773324413,0.731425,0.731337230953844,9,80,0.7314295332143458,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1000,JS,0.732275,0.7325524909952422,0.732275,0.7321969250223638,9,80,0.7322792832674552,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1500,Base,0.7299,0.7303571047729083,0.7299,0.7297683195270188,0,53,0.7299055331190958,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1500,KS95,0.731325,0.7317297760306756,0.731325,0.7312098308926867,17,53,0.7313301894581369,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1500,KS90,0.7313125,0.7316910181015086,0.7313125,0.7312048522364568,20,53,0.7313175175823449,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1500,HD,0.7313,0.7316836742359899,0.7313,0.7311908621883567,5,53,0.7313050519565657,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,1500,JS,0.7313,0.7316836742359899,0.7313,0.7311908621883567,5,53,0.7313050519565657,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,Base,0.7301125,0.7306030165144956,0.7301125,0.7299713626982441,0,40,0.7301182300073894,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,KS95,0.731475,0.7316758554207666,0.731475,0.7314183402170275,15,40,0.7314786457174154,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,KS90,0.732075,0.7322386271889534,0.732075,0.7320291932185883,20,40,0.7320782832548928,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,HD,0.7301125,0.7306030165144956,0.7301125,0.7299713626982441,0,40,0.7301182300073894,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2000,JS,0.7301125,0.7306030165144956,0.7301125,0.7299713626982441,0,40,0.7301182300073894,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,Base,0.7300125,0.7305124409666253,0.7300125,0.7298685161449857,0,32,0.7300182862511428,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,KS95,0.73175,0.7322317004246539,0.73175,0.7316132268422365,8,32,0.7317556582347287,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,KS90,0.730975,0.7312614576081218,0.730975,0.7308935298817447,13,32,0.7309793644362103,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,HD,0.7300125,0.7305124409666253,0.7300125,0.7298685161449857,0,32,0.7300182862511428,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_incremental,2500,JS,0.7300125,0.7305124409666253,0.7300125,0.7298685161449857,0,32,0.7300182862511428,1.0,parallel_incremental,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,Base,0.712525,0.7129180994861023,0.712525,0.7123948277112564,0,80,0.7125303320331456,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,KS95,0.7091375,0.7091753271039621,0.7091375,0.709125167790342,74,80,0.7091391411961964,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,KS90,0.709125,0.7091547306975097,0.709125,0.709115387186079,75,80,0.7091264505704031,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,HD,0.709075,0.7092889508239351,0.709075,0.7090025899427729,10,80,0.7090789568174347,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1000,JS,0.7090625,0.7092761035031897,0.7090625,0.708990201580971,18,80,0.7090664536916533,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,Base,0.7142125,0.7146072938120626,0.7142125,0.7140835478485862,0,53,0.7142178227636138,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,KS95,0.7135,0.7136315712922846,0.7135,0.7134573555987689,48,53,0.7135030633439415,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,KS90,0.7136,0.7137441220672457,0.7136,0.713553256335962,49,53,0.7136032071002004,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,HD,0.7145,0.7147012418456129,0.7145,0.7144348930056533,5,53,0.7145037884064869,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,1500,JS,0.7145,0.7147012418456129,0.7145,0.7144348930056533,5,53,0.7145037884064869,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,Base,0.7137,0.714079732678858,0.7137,0.7135754899414267,0,40,0.7137052258565766,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,KS95,0.7107625,0.710909447500031,0.7107625,0.7107137092667006,37,40,0.7107657600478601,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,KS90,0.7107625,0.710909447500031,0.7107625,0.7107137092667006,37,40,0.7107657600478601,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,HD,0.7131,0.713528888970561,0.7131,0.7129585397524381,10,40,0.7131055633190977,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2000,JS,0.7131,0.713528888970561,0.7131,0.7129585397524381,10,40,0.7131055633190977,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2500,Base,0.7152125,0.7155153982788377,0.7152125,0.7151146071971577,0,32,0.7152171478260717,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2500,KS95,0.7102125,0.7104998390822768,0.7102125,0.7101158231141953,29,32,0.7102170787635674,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2500,KS90,0.7102125,0.7104998390822768,0.7102125,0.7101158231141953,29,32,0.7102170787635674,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2500,HD,0.71375,0.714065100045373,0.71375,0.7136469033486901,5,32,0.7137547571096723,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_with_switching_drifts_abrupt,2500,JS,0.71375,0.714065100045373,0.71375,0.7136469033486901,5,32,0.7137547571096723,1.0,switching_abrupt,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1000,Base,0.7302875,0.7307531227038875,0.7302875,0.7301537640601802,0,80,0.7302930800183176,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1000,KS95,0.7326,0.7328643510952861,0.7326,0.732525854634333,6,80,0.732604177037761,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1000,KS90,0.7326125,0.7329447749703457,0.7326125,0.7325190942204379,16,80,0.7326171864135742,1.0,no_drifts,synthetic,NB,23,23042
