batch_size,mean_accuracy,std_accuracy,mean_f1,std_f1,count
1000,0.7387244666666667,0.08125356215185509,0.7383949041295724,0.08132838988150749,750
1500,0.7395625666666666,0.08111806098831234,0.7392401707349873,0.08116380877242892,750
2000,0.7403928333333333,0.08090548546499587,0.7400793793149393,0.08095060833944358,750
2500,0.7408457166666667,0.08094063765940446,0.7405455030289517,0.08096461226897064,750
