metric,mean,std,min,max,median,count
accuracy,0.7398813958333333,0.08101806890014207,0.5877375,0.9434,0.7354125,3000
precision,0.7411931435832643,0.08166037109896467,0.5877637188297901,0.945053981845876,0.7361726136100526,3000
recall,0.7398813958333333,0.08101806890014207,0.5877375,0.9434,0.7354125,3000
f1,0.7395649893021128,0.08106559517370807,0.5877138082790916,0.9433477311983156,0.735201901428491,3000
auc,0.7398776137124924,0.08101348327858658,0.5877424689461932,0.9434060927362438,0.7354145600259099,3000
