metric,mean,std,count,ci_lower,ci_upper,ci_width,confidence_level
accuracy,0.7398813958333333,0.08101806890014207,3000,0.7369810842180645,0.7427817074486022,0.005800623230537649,0.95
precision,0.7411931435832643,0.08166037109896467,3000,0.7382698386215353,0.7441164485449933,0.005846609923457979,0.95
recall,0.7398813958333333,0.08101806890014207,3000,0.7369810842180645,0.7427817074486022,0.005800623230537649,0.95
f1,0.7395649893021128,0.08106559517370807,3000,0.7366629763255905,0.742467002278635,0.005804025953044523,0.95
auc,0.7398776137124924,0.08101348327858658,3000,0.7369774662548201,0.7427777611701647,0.005800294915344617,0.95
