dataset,mean_accuracy,std_accuracy,mean_f1,std_f1,count
synthetic_dataset_with_switching_drifts_abrupt,0.7130066458333334,0.07350137252950008,0.7127635465666406,0.07356655374114167,600
synthetic_dataset_with_parallel_drifts_abrupt,0.7340940208333333,0.07781580971083728,0.7335845701590585,0.07799367875249762,600
synthetic_dataset_with_switching_drifts_incremental,0.7500287083333333,0.08229859594685057,0.7497484378664444,0.08231685613374325,600
synthetic_dataset_with_parallel_drifts_incremental,0.7507835208333333,0.08212667707438583,0.7505161520021423,0.08210993267108962,600
synthetic_dataset_no_drifts,0.7514940833333332,0.08230179949945587,0.7512122399162774,0.08230218414353598,600
